supplier_id,supplier_name,contact_email,lead_time_days
SUP_001,"Rivera, Mitchell and Avila",cnewman@holland.com,5
SUP_002,Elliott Ltd,lorijohnson@pugh.com,4
SUP_003,Woods-Jordan,nathanwhite@rogers-miller.com,2
SUP_004,Macias-Frey,johnthompson@jimenez.com,3
SUP_005,Flores-Hunt,anthony66@roberts.biz,6
SUP_006,"Gould, Jones and Brady",douglas42@barber-rodriguez.com,6
SUP_007,Ritter PLC,melaniebutler@wood.com,3
SUP_008,"Johnston, Dunn and Dawson",martha67@nichols.com,2
SUP_009,"Dunn, Cole and Graham",william80@tucker-olson.com,6
SUP_010,Zamora Ltd,xking@thomas.com,3
