warehouse_id,sku_id,available_quantity,reserved_quantity,stock_date
WH_01,SKU_0001,407,43,2026-01-24
WH_01,SKU_0002,339,0,2026-01-24
WH_01,SKU_0003,154,18,2026-01-24
WH_01,SKU_0004,487,29,2026-01-24
WH_01,SKU_0005,188,33,2026-01-24
WH_01,SKU_0006,171,13,2026-01-24
WH_01,SKU_0007,86,23,2026-01-24
WH_01,SKU_0008,399,22,2026-01-24
WH_01,SKU_0009,367,50,2026-01-24
WH_01,SKU_0010,33,29,2026-01-24
WH_01,SKU_0011,418,40,2026-01-24
WH_01,SKU_0012,456,28,2026-01-24
WH_01,SKU_0013,162,7,2026-01-24
WH_01,SKU_0014,268,2,2026-01-24
WH_01,SKU_0015,39,26,2026-01-24
WH_01,SKU_0016,151,45,2026-01-24
WH_01,SKU_0017,232,9,2026-01-24
WH_01,SKU_0018,168,9,2026-01-24
WH_01,SKU_0019,482,24,2026-01-24
WH_01,SKU_0020,438,34,2026-01-24
WH_01,SKU_0021,2,37,2026-01-24
WH_01,SKU_0022,441,33,2026-01-24
WH_01,SKU_0023,263,44,2026-01-24
WH_01,SKU_0024,433,32,2026-01-24
WH_01,SKU_0025,476,44,2026-01-24
WH_01,SKU_0026,235,16,2026-01-24
WH_01,SKU_0027,9,40,2026-01-24
WH_01,SKU_0028,489,16,2026-01-24
WH_01,SKU_0029,474,44,2026-01-24
WH_01,SKU_0030,338,10,2026-01-24
WH_01,SKU_0031,60,43,2026-01-24
WH_01,SKU_0032,498,1,2026-01-24
WH_01,SKU_0033,337,20,2026-01-24
WH_01,SKU_0034,143,34,2026-01-24
WH_01,SKU_0035,210,35,2026-01-24
WH_01,SKU_0036,73,13,2026-01-24
WH_01,SKU_0037,390,16,2026-01-24
WH_01,SKU_0038,309,9,2026-01-24
WH_01,SKU_0039,351,28,2026-01-24
WH_01,SKU_0040,203,3,2026-01-24
WH_01,SKU_0041,63,39,2026-01-24
WH_01,SKU_0042,248,46,2026-01-24
WH_01,SKU_0043,296,24,2026-01-24
WH_01,SKU_0044,290,24,2026-01-24
WH_01,SKU_0045,89,13,2026-01-24
